时间,开盘价,最高价,最低价,收盘价
2018/10/2,288,546,222,226
2018/10/3,247,361,97,155
2018/10/4,155,449,153,372
2018/10/5,403,498,304,425
2018/10/6,428,474,381,474
2018/10/8,457,457,105,191
2018/10/9,184,222,8,52
2018/10/10,44,220,-119,97
2018/10/11,106,333,-279,-125
2018/10/12,-136,94,-264,49
2018/10/13,60,66,-15,-15
2018/10/15,-15,208,-69,47
2018/10/16,40,62,-319,-231
2018/10/17,-237,-114,-241,-166
2018/10/18,-164,186,-177,142
2018/10/19,155,196,-151,-42
2018/10/20,-40,-9,-90,-80
2018/10/22,-55,-55,-572,-199
2018/10/23,-200,-153,-598,-463
2018/10/24,-473,-343,-811,-695
2018/10/25,-691,-487,-988,-890
2018/10/26,-898,-727,-1062,-1038
2018/10/27,-1038,-1008,-1090,-1063
2018/10/29,-1149,-468,-1149,-640
2018/10/30,-637,-493,-1034,-915
2018/10/31,-921,-752,-1013,-980
2018/11/1,-973,-622,-1136,-889
2018/11/2,-907,-465,-1041,-654
2018/11/3,-646,-518,-665,-522
2018/11/5,-705,-542,-1003,-955
2018/11/6,-945,-814,-1148,-971
2018/11/7,-965,-871,-1168,-1063
2018/11/8,-1060,-978,-1205,-1145
2018/11/9,-1139,-961,-1219,-1058
2018/11/10,-1055,-1002,-1087,-1037
2018/11/12,-1028,-898,-1144,-915
2018/11/13,-909,-766,-1098,-938
2018/11/14,-927,-628,-950,-736
2018/11/15,-721,-578,-852,-665
2018/11/16,-662,-596,-789,-749
2018/11/17,-732,-710,-768,-745
2018/11/19,-747,-408,-815,-439
2018/11/20,-452,-347,-788,-719
2018/11/21,-718,-486,-788,-486
2018/11/22,-498,-184,-560,-194
2018/11/23,-196,-50,-262,-159
2018/11/24,-169,-103,-177,-103
2018/11/26,-99,179,-133,121
2018/11/27,114,234,-41,18
2018/11/28,6,190,-32,102
2018/11/29,101,115,-248,-120
2018/11/30,-139,10,-206,-151
2018/12/1,-115,-115,-198,-183
2018/12/3,-190,-22,-461,-80
2018/12/4,-75,29,-155,-107
2018/12/5,-105,42,-237,-211
2018/12/6,-199,49,-279,-190
2018/12/7,-218,126,-247,96
2018/12/8,114,200,102,200
2018/12/10,196,196,-17,68
2018/12/11,63,278,23,188
2018/12/12,178,325,130,175
2018/12/13,170,308,141,160
2018/12/14,177,317,50,222
2018/12/15,221,294,207,271
2018/12/17,276,451,227,357
2018/12/18,342,570,227,469
2018/12/19,469,766,380,744
2018/12/20,759,823,681,806
2018/12/21,791,1050,767,1017
2018/12/22,1033,1081,1015,1056
2018/12/24,1048,1100,759,972
2018/12/27,1066,1066,786,856
2018/12/28,770,1057,701,1026
2018/12/29,1030,1030,967,995
2018/12/31,1016,1320,928,1216
